datetime,VOC,CO2,humidity,temperature,water_temperature,pH,EC
2020-06-20 13:00:16,0.0,413.1,61.0,21.0,20.44,-1.0,-1.0
2020-06-20 15:24:32,0.8,407.1,63.0,21.0,20.25,6.88,-1.0
2020-06-20 16:29:55,0.3,406.2,64.0,22.0,20.19,-1.0,-1.0
2020-06-20 21:40:14,1.1,407.4,70.0,21.0,,7.82,1.25
2020-06-20 21:57:09,0.7,404.3,54.0,24.0,20.25,7.3,-1.0
2020-06-21 00:51:49,0.0,408.9,64.0,22.0,20.37,6.86,-1.0
2020-06-21 14:00:16,1.9,401.3,52.0,25.0,20.37,-1.0,-1.0
2020-06-21 15:05:24,0.9,408.5,64.0,23.0,20.31,-1.0,-1.0
2020-06-21 16:09:33,0.7,405.2,60.0,22.0,20.31,6.89,-1.0
2020-06-21 17:14:57,1.5,411.1,71.0,21.0,20.25,-1.0,-1.0
2020-06-21 18:44:08,0.0,405.6,60.0,23.0,20.19,7.78,1.12
2020-06-21 20:12:59,0.4,405.7,57.0,24.0,20.25,-1.0,-1.0
2020-06-21 21:23:03,0.5,410.0,65.0,22.0,20.37,6.23,-1.0
2020-06-21 23:24:42,0.6,406.9,42.0,22.0,20.50,6.29,0.96
2020-06-22 10:11:37,0.3,405.4,58.0,24.0,20.75,6.0,-1.0
2020-06-22 12:24:37,0.1,409.3,65.0,23.0,20.62,-1.0,-1.0
2020-06-22 12:52:04,1.2,406.6,68.33333333333333,22.0,20.62,-1.0,-1.0
2020-06-22 13:57:06,0.2,405.0,70.0,21.0,20.50,6.2,0.47
2020-06-22 18:00:15,0.5,405.5,80.0,20.0,15.63,6.91,-1.0
2020-06-22 19:13:03,0.5,404.8,72.66666666666667,21.0,16.37,-1.0,-1.0
2020-06-22 20:18:49,0.4,415.4,69.0,22.0,16.94,6.74,-1.0
2020-06-22 21:28:10,0.3,404.6,69.33333333333333,21.0,17.56,-1.0,-1.0
2020-06-22 22:42:48,2.0,419.8,70.33333333333333,21.0,18.19,6.39,0.4
2020-06-23 10:14:35,0.0,413.1,69.0,21.0,20.12,7.02,-1.0
2020-06-23 11:19:53,1.0,408.0,66.0,22.0,20.06,6.77,-1.0
2020-06-23 17:33:44,2.4,403.0,73.66666666666667,20.0,19.94,-1.0,-1.0
